exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_krum_alphainf_adv10_dp0_pers0_mu0.1_modesign_flip_topk_seed45_datasetedge-iiotset-full,krum,inf,10,0.1,45,sign,20,0.5251977568541385,,306570,krum_alphainf_adv10_mu0.1
dsedge-iiotset-full_comp_krum_alpha0.5_adv10_dp0_pers0_mu0.0_seed55_datasetedge-iiotset-full,krum,0.5,10,0.0,55,none,20,0.5108451639009094,,306571,krum_alpha0.5_adv10_mu0.0
dsedge-iiotset-full_comp_median_alpha0.2_adv30_dp0_pers0_mu0.0_seed54_datasetedge-iiotset-full,median,0.2,30,0.0,54,none,20,0.5255392760363125,,306570,median_alpha0.2_adv30_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_modesign_flip_topk_seed49_datasetedge-iiotset-full,bulyan,0.5,10,0.0,49,sign,20,0.6342119271717763,,306570,bulyan_alpha0.5_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.02_adv0_dp0_pers0_mu0.0_seed46_datasetedge-iiotset-full,bulyan,0.02,0,0.0,46,none,20,0.2766520033898734,,306570,bulyan_alpha0.02_adv0_mu0.0
dsedge-iiotset-full_comp_median_alphainf_adv20_dp0_pers0_mu0.0_seed49_datasetedge-iiotset-full,median,inf,20,0.0,49,none,20,0.5417419117336384,,306570,median_alphainf_adv20_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha1.0_adv0_dp0_pers0_mu0.01_modenone_seed43_datasetedge-iiotset-full,bulyan,1.0,0,0.01,43,none,20,0.6865112305575906,,306569,bulyan_alpha1.0_adv0_mu0.01
dsedge-iiotset-full_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed50_datasetedge-iiotset-full,median,1.0,0,0.0,50,none,20,0.6866756016070292,,306570,median_alpha1.0_adv0_mu0.0
dsedge-iiotset-full_comp_fedavg_alpha0.2_adv20_dp0_pers0_mu0.0_seed52_datasetedge-iiotset-full,fedavg,0.2,20,0.0,52,none,20,0.4361504858336626,,306569,fedavg_alpha0.2_adv20_mu0.0
dsedge-iiotset-full_comp_fedavg_alphainf_adv20_dp0_pers0_mu0.0_seed61_datasetedge-iiotset-full,fedavg,inf,20,0.0,61,none,20,0.0499709202523503,,306570,fedavg_alphainf_adv20_mu0.0
