experiment,aggregation,alpha,seed,mu,dataset,num_clients,num_rounds,final_round,num_clients_reporting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,acc_std
dsedge-iiotset-nightly_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-nightly,median,1.0,43,0.0,edge-iiotset-nightly,6,20,20,6,0.7084939888496647,0.03166831241964993,0.6756857785814395,0.7532243956043078,0.9670902371163989,0.0011591031457301262
dsedge-iiotset-nightly_comp_fedprox_alpha0.1_adv0_dp0_sigma0.0_pers0_mu0.0_cf1.0_le1_idx19_seed51,unknown,0.1,51,0.0,edge-iiotset-nightly,6,15,15,6,0.5104176867689556,0.06593773865401109,0.41765771371112037,0.6039061015432952,0.9833667353824944,0.022722381276558488
dsedge-iiotset-nightly_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.1_seed46,unknown,0.5,46,0.1,edge-iiotset-nightly,6,15,15,6,0.542523839033447,0.03837903452177143,0.493733641625604,0.5974230737352233,0.9618343032851329,0.025331540503138097
dsedge-iiotset-nightly_comp_fedavg_alpha1.0_adv0_dp0_pers3_mu0.0_seed42,fedavg,1.0,42,0.0,edge-iiotset-nightly,12,15,1,11,0.5655384630360181,0.02228229194564108,0.5066726661977616,0.5836199180652781,0.95905863166359,0.005624672661230442
dsedge-iiotset-nightly_comp_fedprox_alpha0.2_adv0_dp0_sigma0.0_pers0_mu0.1_cf1.0_le1_idx41_seed48,unknown,0.2,48,0.1,edge-iiotset-nightly,6,15,15,6,0.5133322788344111,0.051170339067729186,0.44215156432842184,0.5817907658067891,0.977210152196617,0.030227293473118155
dsedge-iiotset-nightly_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.01_seed43,unknown,0.5,43,0.01,edge-iiotset-nightly,6,15,15,6,0.6622369389922877,0.04013291611274179,0.6012455227692339,0.7106729384989408,0.943933752335007,0.05149592773145017
dsedge-iiotset-nightly_comp_fedprox_alpha1.0_adv0_dp0_pers0_mu0.01_seed43_datasetedge-iiotset-nightly,unknown,1.0,43,0.01,edge-iiotset-nightly,6,20,20,6,0.7106647455728854,0.02955156384575222,0.6665879214171874,0.7459883540535794,0.9667684066276317,0.0013707996216275602
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers3_mu0.0_seed48,fedavg,0.5,48,0.0,edge-iiotset-nightly,6,15,15,6,0.6261723744544214,0.07148959902215639,0.5318859528739025,0.7150320100337498,0.9683268758766187,0.020080773196670874
dsedge-iiotset-nightly_comp_fedavg_alpha0.5_adv0_dp1_pers0_mu0.0_seed47,fedavg,0.5,47,0.0,edge-iiotset-nightly,6,15,15,6,0.597190433375703,0.09267767683672493,0.4767380705150303,0.7153637823285821,0.9679285865841942,0.02951803638313427
dsedge-iiotset-nightly_p0b1bacd1_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed48_datasetedge-iiotset-nightly,median,1.0,48,0.0,edge-iiotset-nightly,6,20,20,6,0.7072985301424114,0.02328279169647945,0.6658756628848095,0.7345838945759134,0.9662662600360988,0.0032294978314454034
