slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
attack_alpha0.5_by_mode,10,10,0.4036709722205747,0.3327054500896515,0.47463649435149785,A,edge-iiotset-full,krum,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4175713186275945,0.3710635865271619,0.4640790507280271,A,edge-iiotset-full,krum,30.0,none,,
attack_alpha0.5_by_mode,10,10,0.3948472678028382,0.31918272311138784,0.47051181249428853,A,edge-iiotset-full,krum,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.4169461549340362,0.3490233923115091,0.4848689175565633,A,edge-iiotset-full,krum,30.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5907866308053165,0.5323086942471809,0.6492645673634521,A,edge-iiotset-full,median,10.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.5932121808065154,0.5636567445719315,0.6227676170410993,A,edge-iiotset-full,median,10.0,none,,
attack_alpha0.5_by_mode,10,10,0.5593896692476721,0.4955090256861253,0.6232703128092189,A,edge-iiotset-full,median,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5926461985874343,0.5412977188637388,0.6439946783111298,A,edge-iiotset-full,median,10.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.5209628596672652,0.4561014990414053,0.5858242202931251,A,edge-iiotset-full,median,20.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.5243165454902349,0.48821545577421416,0.5604176352062556,A,edge-iiotset-full,median,20.0,none,,
attack_alpha0.5_by_mode,10,10,0.5080782394222305,0.4439881195894816,0.5721683592549794,A,edge-iiotset-full,median,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.5269776912162504,0.46582227256444403,0.5881331098680567,A,edge-iiotset-full,median,20.0,targeted_label,,
attack_alpha0.5_by_mode,10,10,0.4230688693663448,0.3534915884414449,0.4926461502912447,A,edge-iiotset-full,median,30.0,label_flip,,
attack_alpha0.5_by_mode,20,20,0.4448523709388805,0.3967252546570765,0.4929794872206846,A,edge-iiotset-full,median,30.0,none,,
attack_alpha0.5_by_mode,10,10,0.40972824011154624,0.33139204098525676,0.4880644392378357,A,edge-iiotset-full,median,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,10,10,0.43132542145082403,0.3598900774464802,0.5027607654551679,A,edge-iiotset-full,median,30.0,targeted_label,,
attack_alpha0.5_by_mode,9,5,0.4172350777596222,0.3446626153049796,0.4898075402142648,B,unsw,bulyan,10.0,grad_ascent,,
attack_alpha0.5_by_mode,7,5,0.5186295927859813,0.44325556339848743,0.5940036221734752,B,unsw,bulyan,10.0,label_flip,,
attack_alpha0.5_by_mode,6,5,0.4963590100302715,0.4534515457752083,0.5392664742853347,B,unsw,bulyan,10.0,none,,
attack_alpha0.5_by_mode,7,5,0.38073437966522344,0.3123832536612088,0.4490855056692381,B,unsw,bulyan,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,5,5,0.4622287242605371,0.32660115795386924,0.597856290567205,B,unsw,bulyan,10.0,targeted_label,,
attack_alpha0.5_by_mode,6,5,0.3267684244219029,0.11313723078169738,0.5403996180621085,B,unsw,fedavg,10.0,grad_ascent,,
attack_alpha0.5_by_mode,9,5,0.4342847577921151,0.3424701047793013,0.526099410804929,B,unsw,fedavg,10.0,label_flip,,
attack_alpha0.5_by_mode,6,5,0.45033944582241575,0.37303005113193666,0.5276488405128948,B,unsw,fedavg,10.0,none,,
attack_alpha0.5_by_mode,8,5,0.2891652770811766,0.19727783923858122,0.381052714923772,B,unsw,fedavg,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,7,5,0.41870916356778387,0.3290316894384407,0.5083866376971271,B,unsw,fedavg,10.0,targeted_label,,
attack_alpha0.5_by_mode,6,5,0.11853110917619543,-0.049711590765094696,0.28677380911748557,B,unsw,fedavg,20.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.4092268368719187,0.26945062292397237,0.549003050819865,B,unsw,fedavg,20.0,label_flip,,
attack_alpha0.5_by_mode,7,5,0.23365008290456202,0.12199501651342176,0.3453051492957023,B,unsw,fedavg,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,6,5,0.35870800449960893,0.30556458818194615,0.4118514208172717,B,unsw,fedavg,20.0,targeted_label,,
attack_alpha0.5_by_mode,6,5,0.08783743773601628,0.01646418448657415,0.15921069098545843,B,unsw,fedavg,30.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.358048365443238,0.2118699483681148,0.5042267825183612,B,unsw,fedavg,30.0,label_flip,,
attack_alpha0.5_by_mode,6,5,0.4190455547536181,0.3764670497699396,0.4616240597372966,B,unsw,fedavg,30.0,none,,
attack_alpha0.5_by_mode,5,5,0.20392004329604113,0.07474849262144706,0.3330915939706352,B,unsw,fedavg,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,8,5,0.3243328500438559,0.26312704359232114,0.3855386564953907,B,unsw,fedavg,30.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.3895606343714624,0.2647647345810694,0.5143565341618553,B,unsw,krum,10.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.4577401277493238,0.3468559630428129,0.5686242924558347,B,unsw,krum,10.0,label_flip,,
attack_alpha0.5_by_mode,5,5,0.43011187461276046,0.386299684247451,0.47392406497806994,B,unsw,krum,10.0,none,,
attack_alpha0.5_by_mode,7,5,0.3382486011472527,0.2897137603122973,0.3867834419822081,B,unsw,krum,10.0,sign_flip_topk,,
attack_alpha0.5_by_mode,7,5,0.4188693628087083,0.30791425820962726,0.5298244674077893,B,unsw,krum,10.0,targeted_label,,
attack_alpha0.5_by_mode,8,5,0.31058037464100186,0.23715240994553666,0.38400833933646705,B,unsw,krum,20.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.44446337756958226,0.3216426435407865,0.567284111598378,B,unsw,krum,20.0,label_flip,,
attack_alpha0.5_by_mode,7,5,0.32097381440379785,0.2870350947659338,0.3549125340416619,B,unsw,krum,20.0,sign_flip_topk,,
attack_alpha0.5_by_mode,6,5,0.3670710960908646,0.28875554776343043,0.4453866444182987,B,unsw,krum,20.0,targeted_label,,
attack_alpha0.5_by_mode,7,5,0.23346297358858153,0.17405773035072997,0.2928682168264331,B,unsw,krum,30.0,grad_ascent,,
attack_alpha0.5_by_mode,5,5,0.394996675914893,0.24931471418889464,0.5406786376408914,B,unsw,krum,30.0,label_flip,,
attack_alpha0.5_by_mode,8,5,0.4131328484136772,0.35944624338041126,0.46681945344694314,B,unsw,krum,30.0,none,,
attack_alpha0.5_by_mode,7,5,0.26112453999661017,0.20370866093104073,0.3185404190621796,B,unsw,krum,30.0,sign_flip_topk,,
attack_alpha0.5_by_mode,6,5,0.33531313448384986,0.25392518690153526,0.41670108206616446,B,unsw,krum,30.0,targeted_label,,
attack_alpha0.5_by_mode,5,5,0.4361727681314197,0.31791571817175385,0.5544298180910855,B,unsw,median,10.0,grad_ascent,,
attack_alpha0.5_by_mode,6,5,0.44976713956951403,0.3298471385114518,0.5696871406275762,B,unsw,median,10.0,label_flip,,
attack_alpha0.5_by_mode,6,5,0.43463684025628563,0.34216859882675754,0.5271050816858137,B,unsw,median,10.0,none,,
attack_alpha0.5_by_mode,7,5,0.36514582599811085,0.30864474607575093,0.42164690592047077,B,unsw,median,10.0,sign_flip_topk,,
