run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_06d302eb42_comp_bulyan_alpha0.05_adv10_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_06e49970b6_comp_fedprox_alphainf_adv0_dp0_pers0_mu0.002_seed42,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_06f33c1611_comp_fedavg_alpha0.5_adv10_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_06fda18291_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0735104567_comp_fedavg_alphainf_adv0_dp0_pers0_mu0.1_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0745738896_comp_fedavg_alpha0.1_adv0_dp0_pers0_mu0.2_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0746ea9c8a_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.005_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0757bc9031_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.005_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_078c4666f9_comp_median_alpha1.0_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_07b1587352_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.0_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_07dd3fd5fa_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.08_seed46,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_07e5f4d3e2_comp_krum_alpha0.5_adv20_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0847a86e2a_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.1_seed45,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_084924a6f3_comp_fedavg_alpha0.05_adv30_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_085f9e9808_comp_bulyan_alpha0.1_adv0_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_087a82260d_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.0_seed56,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_088c4a47a1_comp_median_alpha0.02_adv0_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_089654b5a7_comp_fedprox_alpha0.1_adv0_dp0_pers0_mu0.2_seed42,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_089902ab60_comp_median_alpha0.05_adv30_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_08993d20e8_comp_median_alpha0.2_adv10_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_08a4c19ac1_comp_fedavg_alphainf_adv0_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_08b63636e1_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,bulyan
