run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
cic_simple_7f21f8425b_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,cic_simple_7f21f8425b_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,True,5f33d9776901,2,cic,krum,0.5,0.0,none,0.0,61.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed61_datasetcic,cic_simple_7f21f8425b_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,False,5f33d9776901,2,cic,krum,0.5,0.0,none,0.0,61.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_median_alpha0.1_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed57_datasetcic,dscic_comp_median_alpha0.1_adv10_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed57_datasetcic,True,5f371fb3cca0,1,cic,median,0.1,10.0,targeted_label,0.0,57.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha0.2_adv20_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed48_datasetcic,dscic_comp_krum_alpha0.2_adv20_dp0_pers0_mu0.0_n10_r20_modesign_flip_topk_seed48_datasetcic,True,5f3d50bce4ce,1,cic,krum,0.2,20.0,sign_flip_topk,0.0,48.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_ab15d6bff5_comp_krum_alpha0.2_adv0_dp0_pers0_mu0.0_seed42_srccic,unsw_simple_ab15d6bff5_comp_krum_alpha0.2_adv0_dp0_pers0_mu0.0_seed42_srccic,True,5f41480f402d,1,unsw,krum,0.2,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
cic_simple_13568e9d6c_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed53,cic_simple_13568e9d6c_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed53,True,5f4962ed0fb6,2,cic,median,0.5,0.0,none,0.0,53.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed53_datasetcic,cic_simple_13568e9d6c_comp_median_alpha0.5_adv0_dp0_pers0_mu0.0_seed53,False,5f4962ed0fb6,2,cic,median,0.5,0.0,none,0.0,53.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_5181f59d56_comp_krum_alpha0.1_adv0_dp0_pers0_mu0.0_seed59,unsw_simple_5181f59d56_comp_krum_alpha0.1_adv0_dp0_pers0_mu0.0_seed59,True,5f5536a0ca85,1,unsw,krum,0.1,0.0,none,0.0,59.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_3472c15579_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed61,unsw_simple_3472c15579_comp_fedavg_alpha0.02_adv30_dp0_pers0_mu0.0_seed61,True,5f5564a83d73,1,unsw,fedavg,0.02,30.0,targeted_label,0.0,61.0,complete_or_exceeds_target,0,20.0,20
cic_simple_11f11b0b97_comp_median_alpha0.1_adv20_dp0_pers0_mu0.0_seed44,cic_simple_11f11b0b97_comp_median_alpha0.1_adv20_dp0_pers0_mu0.0_seed44,True,5f55d26e56fe,1,cic,median,0.1,20.0,none,0.0,44.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha0.2_adv20_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed61_datasetcic,dscic_comp_krum_alpha0.2_adv20_dp0_pers0_mu0.0_n10_r20_modetargeted_label_seed61_datasetcic,True,5f56b9964933,1,cic,krum,0.2,20.0,targeted_label,0.0,61.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_eb3fa2a95a_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.02_seed43_srccic,unsw_simple_eb3fa2a95a_comp_fedavg_alpha0.05_adv0_dp0_pers0_mu0.02_seed43_srccic,True,5f5b02012586,1,unsw,fedavg,0.05,0.0,none,0.02,43.0,complete_or_exceeds_target,0,20.0,20
cic_simple_be5dbeb3ab_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,cic_simple_be5dbeb3ab_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,True,5f7273d7c3ea,2,cic,fedavg,0.5,0.0,none,0.0,61.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed61_datasetcic,cic_simple_be5dbeb3ab_comp_fedavg_alpha0.5_adv0_dp0_pers0_mu0.0_seed61,False,5f7273d7c3ea,2,cic,fedavg,0.5,0.0,none,0.0,61.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_999fbd98f0_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.0_seed59_srccic,unsw_simple_999fbd98f0_comp_krum_alpha0.1_adv10_dp0_pers0_mu0.0_seed59_srccic,True,5f727a1c4fd5,1,unsw,krum,0.1,10.0,label_flip,0.0,59.0,complete_or_exceeds_target,0,20.0,20
cic_simple_1afa134b2b_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_seed52,cic_simple_1afa134b2b_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_seed52,True,5f74e64f385b,1,cic,bulyan,0.5,10.0,none,0.0,52.0,complete_or_exceeds_target,0,20.0,20
cic_simple_858d8f3a09_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed54,cic_simple_858d8f3a09_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed54,True,5f7ab02090f5,2,cic,fedavg,1.0,0.0,none,0.0,54.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed54_datasetcic,cic_simple_858d8f3a09_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed54,False,5f7ab02090f5,2,cic,fedavg,1.0,0.0,none,0.0,54.0,complete_or_exceeds_target,0,20.0,20
